time;tre200dx;tre200dn;tre200d0;hns000d0;rka150d0;hto000d0
19710115;-;-;-;0;-;12
19710116;-;-;-;0;-;12
19710117;-;-;-;0;-;11
19710118;-;-;-;0;-;12
19710119;-;-;-;5;-;11
19710120;-;-;-;-;-;10
19710121;-;-;-;3;-;18
19710122;-;-;-;0;-;17
19710123;-;-;-;-;-;20
19710124;-;-;-;0;-;19
19710125;-;-;-;0;-;15
19710126;-;-;-;-;-;14
19710127;-;-;-;-;-;13
19710128;-;-;-;-;-;9
19710129;-;-;-;0;-;10
19710130;-;-;-;0;-;16
19710131;-;-;-;0;-;13
19710201;-;-;-;3;-;10
19710202;-;-;-;2;-;10
19710203;-;-;-;9;-;18
19710204;-;-;-;-;-;22
19710205;-;-;-;0;-;29
19710206;-;-;-;0;-;26
19710207;-;-;-;0;-;26
19710208;-;-;-;0;-;25
19710209;-;-;-;0;-;24
19710210;-;-;-;0;-;23
19710211;-;-;-;0;-;23
19710212;-;-;-;0;-;20
19710213;-;-;-;-;-;18
19710214;-;-;-;-;-;16
19710215;-;-;-;-;-;15
19710216;-;-;-;7;-;18
19710217;-;-;-;-;-;15
19710218;-;-;-;-;-;22
19710219;-;-;-;2;-;18
19710220;-;-;-;0;-;28
19710221;-;-;-;-;-;33
19710222;-;-;-;20;-;30
19710223;-;-;-;-;-;30
19710224;-;-;-;0;-;30
19710225;-;-;-;0;-;38
19710226;-;-;-;2;-;29
19710227;-;-;-;-;-;23
19710228;-;-;-;-;-;29
19710301;-;-;-;-;-;33
19710302;-;-;-;-;-;30
19710303;-;-;-;-;-;30
19710304;-;-;-;-;-;29
19710305;-;-;-;-;-;36
19710306;-;-;-;0;-;34
19710307;-;-;-;0;-;36
19710308;-;-;-;0;-;35
19710309;-;-;-;0;-;33
19710310;-;-;-;-;-;33
19710311;-;-;-;-;-;-
19710312;-;-;-;0;-;34
19710313;-;-;-;0;-;37
19710314;-;-;-;-;-;24
19710315;-;-;-;-;-;21
19710316;-;-;-;-;-;14
19710317;-;-;-;0;-;22
19710318;-;-;-;0;-;20
19710319;-;-;-;0;-;14
19710320;-;-;-;-;-;11
19710321;-;-;-;-;-;11
19710322;-;-;-;-;-;3
19710323;-;-;-;0;-;2
19710324;-;-;-;0;-;3
19710325;-;-;-;30;-;3
19710326;-;-;-;-;-;0
19710327;-;-;-;-;-;1
19710328;-;-;-;0;-;33
19710329;-;-;-;0;-;38
19710330;-;-;-;0;-;27
19710331;-;-;-;0;-;20
19710401;-;-;-;0;-;11
19710402;-;-;-;0;-;3
19710403;-;-;-;0;-;0
19710404;-;-;-;0;-;0
19710405;-;-;-;-;-;0
19710406;-;-;-;0;-;0
19710407;-;-;-;0;-;0
19710408;-;-;-;0;-;0
19710409;-;-;-;0;-;0
19710410;-;-;-;0;-;0
19710411;-;-;-;0;-;0
19710412;-;-;-;0;-;0
19710413;-;-;-;0;-;0
