Year;Month;Temperature;Precipitation
1917;2;-1.8;14.6
1917;3;1.6;85.6
1917;4;5;70.2
1917;5;15.8;72.9
1917;6;18.2;164.2
1917;7;17.1;180
1917;8;16.2;211.5
1917;9;15.1;86.3
1917;10;7;142
1917;11;3.6;68.3
1917;12;-3.8;18.2
1918;1;-1;58.3
1918;2;0.4;37.9
1918;3;3.8;33.6
1918;4;8.3;118.4
1918;5;14.3;58.3
1918;6;13.6;182.2
1918;7;17.6;99
1918;8;16.6;113.2
1918;9;13;199.9
1918;10;6.9;76.5
1918;11;3.4;31.4
1918;12;3.4;167.6
1919;1;0.7;30.6
1919;2;-0.5;88.5
1919;3;3.9;170.9
1919;4;5.2;130.1
1919;5;12.2;48.1
1919;6;16;144.9
1919;7;14.4;239.7
1919;8;18.4;36.4
1919;9;15.3;45.8
1919;10;5.2;89.2
1919;11;2.2;75
1919;12;2;93.9
1920;1;3.1;72.3
1920;2;2.6;7.5
1920;3;6;59.1
1920;4;8.7;93.7
1920;5;14.6;193.5
1920;6;15.2;126.5
1920;7;17.1;113.6
1920;8;14.7;132.5
1920;9;13.1;105.5
1920;10;8.1;5.5
1920;11;2;8.5
1920;12;0.5;41.1
1921;1;4.3;27.2
1921;2;1;8.6
1921;3;5.7;44.3
1921;4;7.3;87
1921;5;13.5;110.1
1921;6;15.8;135.9
1921;7;19.6;67.3
1921;8;16.8;128.1
1921;9;14.4;134.3
1921;10;10.7;35.7
1921;11;0.9;86.3
1921;12;1.1;42.2
1922;1;-0.2;110.1
1922;2;0.6;51.3
1922;3;4.6;83.8
1922;4;6;171.1
1922;5;14.6;56.8
1922;6;16.2;163
1922;7;15.9;204.1
1922;8;16;191.8
1922;9;10.8;128.5
1922;10;6.5;157.2
1922;11;2.3;115.9
1922;12;0.6;67.6
1923;1;0.1;61.5
1923;2;3.7;74.1
1923;3;5;48.6
1923;4;8;112.5
1923;5;12.5;137.8
1923;6;12.2;152.9
1923;7;19.8;78.5
1923;8;17.2;87.6
1923;9;12.9;91.9
1923;10;10.2;91
1923;11;3.3;148.8
1923;12;1;90.4
1924;1;-1.4;40.2
1924;2;-1.7;25.4
1924;3;3.5;47.7
1924;4;8.3;71.6
1924;5;13.7;124.4
1924;6;15.2;220.5
1924;7;16.9;188.4
1924;8;13.5;198.1
1924;9;13.1;89
1924;10;8.8;102.7
1924;11;3.6;4.9
1924;12;0.3;32.8
1925;1;1.7;42.1
1925;2;3.4;97
1925;3;1.4;58.8
1925;4;8.5;112.3
1925;5;12.6;88.9
1925;6;16.1;120.3
1925;7;16.6;166.3
1925;8;16;180.9
1925;9;10.7;154.4
1925;10;8.8;21.6
1925;11;2.3;54
1925;12;0.7;80.4
1926;1;0.3;74.1
1926;2;5;34.9
1926;3;4.9;66.7
1926;4;9.8;40.3
1926;5;10.7;149.3
1926;6;13;254.5
1926;7;16.3;228.8
1926;8;16.3;87.4
1926;9;15;79.1
1926;10;8.7;108.1
1926;11;5;40.9
1926;12;-0.5;36.6
1927;1;1;71.1
1927;2;0.2;88.2
1927;3;5.2;115.6
1927;4;8.7;138.9
1927;5;13.5;101.2
1927;6;15.4;201
1927;7;17.4;187.4
1927;8;15.6;272.1
1927;9;13.4;128
1927;10;8.2;16.4
1927;11;3.9;52
1927;12;-0.4;43.7
1928;1;2.4;55.5
1928;2;3.2;49.4
1928;3;4.7;73.5
1928;4;8.1;112.1
1928;5;10.3;124.2
1928;6;15.8;114.8
1928;7;20.2;89
1928;8;17.7;151.2
1928;9;12.7;121.5
1928;10;8.3;78.3
1928;11;5.4;102.6
1928;12;0.4;65.1
1929;1;-4.2;56.8
1929;2;-6.7;41.9
1929;3;3.7;32.5
1929;4;5.8;147
1929;5;12.9;57.7
1929;6;16.5;103.5
1929;7;18.3;105.6
1929;8;16.4;146.8
1929;9;15.9;84.1
1929;10;8.9;129.7
1929;11;4.3;64.8
1929;12;3.2;119
1930;1;1.8;36.7
1930;2;0.2;24.1
1930;3;5.2;88.6
1930;4;9;181.5
1930;5;11.2;187.3
1930;6;18.4;123.6
1930;7;16.1;225.4
1930;8;16.3;140.1
1930;9;13.9;111
1930;10;8.3;144.6
1930;11;6.7;111
1930;12;1.5;64.7
1931;1;0.3;91
1931;2;-0.7;117
1931;3;0.8;150
1931;4;7.5;53.6
1931;5;14.8;101.4
1931;6;17.8;134.2
1931;7;16.7;230.8
1931;8;15;195.6
1931;9;9.4;92.2
1931;10;7.4;53.8
1931;11;5.1;24.5
1931;12;-0.5;47.6
1932;1;0;74.8
1932;2;-3.4;17.8
1932;3;1.9;91.3
1932;4;7.1;93.1
1932;5;11.7;172.5
1932;6;14.4;200.3
1932;7;16.4;218.9
1932;8;19;95.9
1932;9;16.2;63.3
1932;10;8.8;101.6
1932;11;4.9;40.8
1932;12;0.2;21
1933;1;-2.5;39.9
1933;2;0.6;77
1933;3;5.1;42.6
1933;4;8.9;85.5
1933;5;11.2;186.8
1933;6;13.3;206.1
1933;7;18.3;144.6
1933;8;17.9;66.8
1933;9;13.6;107.4
1933;10;9.1;115.4
1933;11;3.1;76.7
1933;12;-4;18.7
1934;1;-0.5;82.4
1934;2;-0.3;7.4
1934;3;4.1;61
1934;4;11.1;31.1
1934;5;14.5;73.4
1934;6;16.1;194.9
1934;7;18.5;130.5
1934;8;16;153.3
1934;9;15;116.5
1934;10;8.6;80.5
1934;11;2.4;42.2
1934;12;3.9;63.5
1935;1;-1.7;63.8
1935;2;2.2;60.2
1935;3;3.2;73.1
1935;4;7.5;123
1935;5;10.6;161.5
1935;6;17.6;86.6
1935;7;18.7;145.3
1935;8;15.7;178.5
1935;9;13.8;60.4
1935;10;8.4;222.8
1935;11;4.7;42.8
1935;12;-0.9;123.4
1936;1;3.7;66.7
1936;2;1.4;83.9
1936;3;6.2;41.6
1936;4;7.8;140
1936;5;12.9;113
1936;6;15.2;173
1936;7;16.4;260.3
1936;8;16.1;138.9
1936;9;13.4;176.1
1936;10;5.8;74.5
1936;11;4.3;52.6
1936;12;1.6;49.4
1937;1;1.1;49.1
1937;2;3.6;96.7
1937;3;3.2;119.2
1937;4;8.3;82.7
1937;5;14.6;147.4
1937;6;16.7;169.4
1937;7;17.6;85.4
1937;8;16.6;147
1937;9;12.3;135.7
1937;10;8.5;79.4
1937;11;3.3;56.7
1937;12;-0.3;67
1938;1;1.2;85.5
1938;2;0.2;39.6
1938;3;7.3;36.3
1938;4;5.6;30.6
1938;5;10.6;126.7
1938;6;16.8;144.9
1938;7;16.6;219.7
1938;8;16.4;217.1
1938;9;13.7;96.1
1938;10;8.5;53.5
1938;11;5.7;25.5
1938;12;-1.8;69.8
1939;1;1.5;51.6
1939;2;1.5;21
1939;3;2.1;97.1
1939;4;9.9;51.1
1939;5;9.2;228
1939;6;15.8;127.5
